"variable","countyfips","year","value"
"LFRESC","3","1990",6165.70944085341
"LFRESC","7","1990",2433.96515753168
"LFRESC","9","1990",1745.60306505319
"LFRESC","11","1990",1576.57016548917
"LFRESC","15","1990",5177.49245473708
"LFRESC","17","1990",1064.83330456845
"LFRESC","19","1990",4231.94079470595
"LFRESC","21","1990",2970.99009105775
"LFRESC","23","1990",1343.90632563412
"LFRESC","25","1990",1375.55835288998
"LFRESC","27","1990",876.433984449389
"LFRESC","29","1990",8113.45158714087
"LFRESC","33","1990",621.657710899089
"LFRESC","37","1990",13207.6907219777
"LFRESC","39","1990",5228.49171086898
"LFRESC","41","1990",216479.354999859
"LFRESC","43","1990",13050.5245903218
"LFRESC","45","1990",15384.1238096488
"LFRESC","47","1990",1834.41717194496
"LFRESC","49","1990",4687.9075669393
"LFRESC","51","1990",6250.23215962805
"LFRESC","53","1990",310.680884184549
"LFRESC","55","1990",2406.34336637492
"LFRESC","57","1990",800.140010947133
"LFRESC","61","1990",693.47886799437
"LFRESC","63","1990",3184.02369710955
"LFRESC","65","1990",2739.2007647071
"LFRESC","67","1990",18504.4785408568
"LFRESC","69","1990",103410.792318658
"LFRESC","71","1990",5533.72091008338
"LFRESC","73","1990",3043.1134735759
"LFRESC","75","1990",8544.19337257759
"LFRESC","77","1990",44661.9234903177
"LFRESC","79","1990",283.168125960484
"LFRESC","81","1990",5268.51405968071
"LFRESC","83","1990",7936.43109965414
"LFRESC","85","1990",11323.6450842961
"LFRESC","87","1990",10438.6546525806
"LFRESC","89","1990",8147.29710597756
"LFRESC","91","1990",1092.26320443339
"LFRESC","93","1990",4283.28453132601
"LFRESC","95","1990",1846.06821945436
"LFRESC","97","1990",9332.47504143164
"LFRESC","99","1990",5302.03449622425
"LFRESC","101","1990",52244.4310932056
"LFRESC","103","1990",2953.57975994877
"LFRESC","105","1990",4621.19450345234
"LFRESC","107","1990",9019.24606690545
"LFRESC","109","1990",2033.11758399296
"LFRESC","111","1990",395.907429954442
"LFRESC","113","1990",2357.25198226688
"LFRESC","115","1990",1179.01301001258
"LFRESC","117","1990",8347.85617776822
"LFRESC","119","1990",7041.21179170283
"LFRESC","121","1990",2214.32479436593
"LFRESC","123","1990",66906.0328855119
"LFRESC","125","1990",4128.14475876881
"LFRESC","500","1990",1061207.44614258
"LFRESC","3","1991",6164.9252015473
"LFRESC","7","1991",2578.12344979726
"LFRESC","9","1991",1713.42921060093
"LFRESC","11","1991",1577.82802216302
"LFRESC","15","1991",5277.66161781666
"LFRESC","17","1991",1099.94114677746
"LFRESC","19","1991",4268.98449152785
"LFRESC","21","1991",3007.24299327655
"LFRESC","23","1991",1374.43351195926
"LFRESC","25","1991",1424.76296846771
"LFRESC","27","1991",913.31708161843
"LFRESC","29","1991",8228.51435795156
"LFRESC","33","1991",604.78272892389
"LFRESC","37","1991",13997.7629200105
"LFRESC","39","1991",5517.06029426033
"LFRESC","41","1991",221199.718757321
"LFRESC","43","1991",13466.6357379478
"LFRESC","45","1991",15960.7885480804
"LFRESC","47","1991",1855.48034195904
"LFRESC","49","1991",4929.74572460333
"LFRESC","51","1991",6344.34977843134
"LFRESC","53","1991",302.403220328687
"LFRESC","55","1991",2488.56000762881
"LFRESC","57","1991",770.081733923785
"LFRESC","61","1991",695.863551463946
"LFRESC","63","1991",3221.47719484561
"LFRESC","65","1991",2813.86514091857
"LFRESC","67","1991",19109.1308620767
"LFRESC","69","1991",107234.544027416
"LFRESC","71","1991",5609.89177461231
"LFRESC","73","1991",3145.67754429688
"LFRESC","75","1991",8588.54725961282
"LFRESC","77","1991",45970.8982365248
"LFRESC","79","1991",287.641956413546
"LFRESC","81","1991",5327.5179122788
"LFRESC","83","1991",8171.00312182358
"LFRESC","85","1991",11710.456825188
"LFRESC","87","1991",10750.8252129522
"LFRESC","89","1991",8299.22074416943
"LFRESC","91","1991",1153.21369031201
"LFRESC","93","1991",4564.91977501332
"LFRESC","95","1991",1851.49563720749
"LFRESC","97","1991",9470.46071373432
"LFRESC","99","1991",5225.51397014298
"LFRESC","101","1991",52771.381925353
"LFRESC","103","1991",2941.51092377733
"LFRESC","105","1991",4653.62944961248
"LFRESC","107","1991",9402.19393768365
"LFRESC","109","1991",2084.21024255561
"LFRESC","111","1991",384.612054757405
"LFRESC","113","1991",2639.49605597028
"LFRESC","115","1991",1172.49425993314
"LFRESC","117","1991",8688.64329860442
"LFRESC","119","1991",7200.17353833217
"LFRESC","121","1991",2198.83390131771
"LFRESC","123","1991",68611.4762279947
"LFRESC","125","1991",4157.99168046257
"LFRESC","500","1991",1083833.02491935
"LFRESC","3","1992",6116.80777015636
"LFRESC","7","1992",2713.20616100305
"LFRESC","9","1992",1667.15485057876
"LFRESC","11","1992",1633.7643674402
"LFRESC","15","1992",5425.35190083682
"LFRESC","17","1992",1060.63556452787
"LFRESC","19","1992",4393.24042409404
"LFRESC","21","1992",3011.0483696276
"LFRESC","23","1992",1346.83535305064
"LFRESC","25","1992",1519.40306104298
"LFRESC","27","1992",979.235299627941
"LFRESC","29","1992",8563.79791874017
"LFRESC","33","1992",597.4084496682
"LFRESC","37","1992",14885.4572222136
"LFRESC","39","1992",5803.09060278069
"LFRESC","41","1992",230512.954356093
"LFRESC","43","1992",14538.1118417963
"LFRESC","45","1992",16021.5349713643
"LFRESC","47","1992",1966.66039608334
"LFRESC","49","1992",5068.82464062815
"LFRESC","51","1992",6553.65815758997
"LFRESC","53","1992",340.550466858568
"LFRESC","55","1992",2592.1119864951
"LFRESC","57","1992",778.36861773667
"LFRESC","61","1992",709.326681807064
"LFRESC","63","1992",3268.52552240125
"LFRESC","65","1992",2871.29262512264
"LFRESC","67","1992",19715.3985792968
"LFRESC","69","1992",110961.009487192
"LFRESC","71","1992",5759.28806878553
"LFRESC","73","1992",3165.52195345036
"LFRESC","75","1992",8642.53457197506
"LFRESC","77","1992",46735.1117214817
"LFRESC","79","1992",298.096440288989
"LFRESC","81","1992",5453.07890307222
"LFRESC","83","1992",8497.31391315953
"LFRESC","85","1992",12192.6410497132
"LFRESC","87","1992",11099.6051867838
"LFRESC","89","1992",8341.46729510824
"LFRESC","91","1992",1211.67049388758
"LFRESC","93","1992",4824.75656548428
"LFRESC","95","1992",1855.74858221309
"LFRESC","97","1992",9694.09540471741
"LFRESC","99","1992",5324.85324078689
"LFRESC","101","1992",53463.4702623664
"LFRESC","103","1992",3012.33810501138
"LFRESC","105","1992",4712.03016913664
"LFRESC","107","1992",9659.35821922562
"LFRESC","109","1992",2114.8078237655
"LFRESC","111","1992",312.976090643893
"LFRESC","113","1992",2930.832494522
"LFRESC","115","1992",1157.82160065999
"LFRESC","117","1992",8908.15549524792
"LFRESC","119","1992",7773.5707388329
"LFRESC","121","1992",2239.21452923682
"LFRESC","123","1992",70770.5263756903
"LFRESC","125","1992",4146.92193322653
"LFRESC","500","1992",1118175.35196386
"LFRESC","3","1993",6187.36840303527
"LFRESC","7","1993",2888.60860376412
"LFRESC","9","1993",1687.89821463288
"LFRESC","11","1993",1603.57748151347
"LFRESC","15","1993",5621.47212098366
"LFRESC","17","1993",1019.42600650777
"LFRESC","19","1993",4523.63213279732
"LFRESC","21","1993",3074.61369246458
"LFRESC","23","1993",1421.85788635636
"LFRESC","25","1993",1561.36134971784
"LFRESC","27","1993",1075.79278287264
"LFRESC","29","1993",9294.18728175825
"LFRESC","33","1993",614.708951257289
"LFRESC","37","1993",16039.2063451146
"LFRESC","39","1993",6249.64157728455
"LFRESC","41","1993",239025.383709785
"LFRESC","43","1993",15525.4250782716
"LFRESC","45","1993",16712.6951140195
"LFRESC","47","1993",2068.29792306966
"LFRESC","49","1993",5284.98562034498
"LFRESC","51","1993",6877.73411419882
"LFRESC","53","1993",374.772632942535
"LFRESC","55","1993",2757.69505071232
"LFRESC","57","1993",805.776367542904
"LFRESC","61","1993",717.25884346629
"LFRESC","63","1993",3309.12579983015
"LFRESC","65","1993",2929.74938249411
"LFRESC","67","1993",20482.0097980077
"LFRESC","69","1993",115601.957478912
"LFRESC","71","1993",5894.00648738596
"LFRESC","73","1993",2989.43582668299
"LFRESC","75","1993",8893.65803131128
"LFRESC","77","1993",48184.0951010337
"LFRESC","79","1993",302.509014002461
"LFRESC","81","1993",5533.14705349061
"LFRESC","83","1993",9013.66188082551
"LFRESC","85","1993",12767.770733843
"LFRESC","87","1993",11493.7356343797
"LFRESC","89","1993",8489.69659415855
"LFRESC","91","1993",1281.25675080578
"LFRESC","93","1993",5145.27443540609
"LFRESC","95","1993",1925.73260934174
"LFRESC","97","1993",10153.4080417113
"LFRESC","99","1993",5497.75234276398
"LFRESC","101","1993",54741.8734595115
"LFRESC","103","1993",2998.04627412072
"LFRESC","105","1993",4852.85401363915
"LFRESC","107","1993",10190.6719850525
"LFRESC","109","1993",2158.24082538559
"LFRESC","111","1993",303.78155079373
"LFRESC","113","1993",3132.3465665033
"LFRESC","115","1993",1170.92734619317
"LFRESC","117","1993",9810.91847416186
"LFRESC","119","1993",8438.46163932633
"LFRESC","121","1993",2368.69792088458
"LFRESC","123","1993",73645.004965557
"LFRESC","125","1993",4231.9932365697
"LFRESC","500","1993",1152727.36533046
"LFRESC","3","1994",6418.06133613909
"LFRESC","7","1994",3092.0069018225
"LFRESC","9","1994",1723.16493364729
"LFRESC","11","1994",1601.96006760602
"LFRESC","15","1994",6032.06310334137
"LFRESC","17","1994",1018.45488585879
"LFRESC","19","1994",4789.56659513473
"LFRESC","21","1994",3125.23083662991
"LFRESC","23","1994",1455.08605349583
"LFRESC","25","1994",1588.79863230323
"LFRESC","27","1994",1132.32706810043
"LFRESC","29","1994",9776.58720134872
"LFRESC","33","1994",652.742028663493
"LFRESC","37","1994",17366.9644214167
"LFRESC","39","1994",6985.08998136579
"LFRESC","41","1994",250265.396982037
"LFRESC","43","1994",16143.5640410133
"LFRESC","45","1994",17777.8240449098
"LFRESC","47","1994",2153.73784545553
"LFRESC","49","1994",5547.31290082876
"LFRESC","51","1994",7098.02896877629
"LFRESC","53","1994",417.532962957738
"LFRESC","55","1994",3033.09811725159
"LFRESC","57","1994",808.186794406366
"LFRESC","61","1994",724.493386976734
"LFRESC","63","1994",3359.98545719021
"LFRESC","65","1994",3009.7377708022
"LFRESC","67","1994",21232.9875096707
"LFRESC","69","1994",120875.474733525
"LFRESC","71","1994",6186.16855700673
"LFRESC","73","1994",2858.47463959454
"LFRESC","75","1994",9366.0492719592
"LFRESC","77","1994",49883.5076113616
"LFRESC","79","1994",320.325215613223
"LFRESC","81","1994",5658.51929328812
"LFRESC","83","1994",9430.0833731912
"LFRESC","85","1994",13414.1730646189
"LFRESC","87","1994",11907.5681649275
"LFRESC","89","1994",8600.6907891195
"LFRESC","91","1994",1411.09108184979
"LFRESC","93","1994",5753.79735185756
"LFRESC","95","1994",1936.16886775577
"LFRESC","97","1994",10452.3396529085
"LFRESC","99","1994",5652.15798146689
"LFRESC","101","1994",56158.6745453977
"LFRESC","103","1994",3028.15456260717
"LFRESC","105","1994",4972.82229519535
"LFRESC","107","1994",10655.8008121003
"LFRESC","109","1994",2226.02585274505
"LFRESC","111","1994",319.77056532555
"LFRESC","113","1994",3430.38121275001
"LFRESC","115","1994",1186.77420041657
"LFRESC","117","1994",11046.9896994268
"LFRESC","119","1994",9105.16541845505
"LFRESC","121","1994",2412.16093423679
"LFRESC","123","1994",76498.4059951886
"LFRESC","125","1994",4294.57024088078
"LFRESC","500","1994",1177605.94217605
"LFRESC","3","1995",6340.65781552701
"LFRESC","7","1995",3395.15683726974
"LFRESC","9","1995",1741.68253417304
"LFRESC","11","1995",1669.33083395777
"LFRESC","15","1995",6402.43120756832
"LFRESC","17","1995",1007.03382921745
"LFRESC","19","1995",4951.27516909384
"LFRESC","21","1995",3202.13586323745
"LFRESC","23","1995",1515.50490583917
"LFRESC","25","1995",1672.03944218723
"LFRESC","27","1995",1230.27616348372
"LFRESC","29","1995",10249.7345151424
"LFRESC","33","1995",688.326333230051
"LFRESC","37","1995",18491.7800639568
"LFRESC","39","1995",7829.50311468772
"LFRESC","41","1995",257727.636381542
"LFRESC","43","1995",16515.936510591
"LFRESC","45","1995",18781.4361716606
"LFRESC","47","1995",2267.66339582102
"LFRESC","49","1995",5932.30237463805
"LFRESC","51","1995",7305.87342982065
"LFRESC","53","1995",444.55759452564
"LFRESC","55","1995",3201.18851195948
"LFRESC","57","1995",784.029679174973
"LFRESC","61","1995",712.267895563754
"LFRESC","63","1995",3421.47367249628
"LFRESC","65","1995",3380.42450234753
"LFRESC","67","1995",22455.662140757
"LFRESC","69","1995",125080.307005592
"LFRESC","71","1995",6312.70034200487
"LFRESC","73","1995",3026.28349501366
"LFRESC","75","1995",9658.67892722557
"LFRESC","77","1995",51129.1765653699
"LFRESC","79","1995",338.127033897032
"LFRESC","81","1995",5766.48065765433
"LFRESC","83","1995",9852.2619308148
"LFRESC","85","1995",14015.2445960437
"LFRESC","87","1995",12017.7050338789
"LFRESC","89","1995",8769.69251983212
"LFRESC","91","1995",1512.29218748237
"LFRESC","93","1995",6425.34580689145
"LFRESC","95","1995",1972.43115008416
"LFRESC","97","1995",10479.7158202743
"LFRESC","99","1995",5752.34468512954
"LFRESC","101","1995",57396.2142539783
"LFRESC","103","1995",3076.88309363194
"LFRESC","105","1995",5090.13120548903
"LFRESC","107","1995",11067.9103764227
"LFRESC","109","1995",2383.4858702389
"LFRESC","111","1995",324.357887365765
"LFRESC","113","1995",3573.45680219718
"LFRESC","115","1995",1180.92283967246
"LFRESC","117","1995",11799.5431895846
"LFRESC","119","1995",9839.04884561977
"LFRESC","121","1995",2414.32232335294
"LFRESC","123","1995",79301.6135654706
"LFRESC","125","1995",4380.43442503218
"LFRESC","500","1995",1200684.17419477
"LFRESC","3","1996",6527.48893410401
"LFRESC","7","1996",3819.60794220663
"LFRESC","9","1996",1788.02992580012
"LFRESC","11","1996",1566.89749163456
"LFRESC","15","1996",6680.89767497973
"LFRESC","17","1996",1015.41411538863
"LFRESC","19","1996",4983.09522386055
"LFRESC","21","1996",3237.37710672459
"LFRESC","23","1996",1552.97255185284
"LFRESC","25","1996",1688.03554320351
"LFRESC","27","1996",1352.89761890357
"LFRESC","29","1996",10482.6669311537
"LFRESC","33","1996",723.525708531344
"LFRESC","37","1996",19716.4324135106
"LFRESC","39","1996",8667.62193472716
"LFRESC","41","1996",262554.814423175
"LFRESC","43","1996",15066.8505010788
"LFRESC","45","1996",19445.2088530288
"LFRESC","47","1996",2361.48203006166
"LFRESC","49","1996",6279.20329025461
"LFRESC","51","1996",7494.47684715982
"LFRESC","53","1996",480.06579831578
"LFRESC","55","1996",3367.13642626124
"LFRESC","57","1996",778.824620225086
"LFRESC","61","1996",727.017471940136
"LFRESC","63","1996",3469.81265433447
"LFRESC","65","1996",3593.14011773984
"LFRESC","67","1996",22990.7527030175
"LFRESC","69","1996",128635.57430845
"LFRESC","71","1996",6411.63040528105
"LFRESC","73","1996",2350.60815080837
"LFRESC","75","1996",9791.1678011032
"LFRESC","77","1996",52333.2504810216
"LFRESC","79","1996",357.319118619475
"LFRESC","81","1996",5826.62035134317
"LFRESC","83","1996",10153.732142496
"LFRESC","85","1996",14450.2059538067
"LFRESC","87","1996",12345.2863845987
"LFRESC","89","1996",8862.49272115712
"LFRESC","91","1996",1599.97943415283
"LFRESC","93","1996",6942.72762301583
"LFRESC","95","1996",1984.56677316015
"LFRESC","97","1996",10350.3606840473
"LFRESC","99","1996",5845.68687922446
"LFRESC","101","1996",58246.1357122729
"LFRESC","103","1996",3051.40940752233
"LFRESC","105","1996",5155.38439789254
"LFRESC","107","1996",11383.1590150736
"LFRESC","109","1996",2464.58296629671
"LFRESC","111","1996",333.799405000218
"LFRESC","113","1996",3793.11788117116
"LFRESC","115","1996",1201.75235703144
"LFRESC","117","1996",12513.244486955
"LFRESC","119","1996",10559.3895651634
"LFRESC","121","1996",2406.21207547866
"LFRESC","123","1996",81487.4771012254
"LFRESC","125","1996",4413.80606086931
"LFRESC","500","1996",1227361.45942417
"LFRESC","3","1997",6593.20700330179
"LFRESC","7","1997",4155.79825380717
"LFRESC","9","1997",1811.64385574251
"LFRESC","11","1997",1597.56518459222
"LFRESC","15","1997",6886.86214261717
"LFRESC","17","1997",1018.03555602305
"LFRESC","19","1997",5110.49898133667
"LFRESC","21","1997",3274.96831851693
"LFRESC","23","1997",1591.69001278811
"LFRESC","25","1997",1742.00336695569
"LFRESC","27","1997",1466.90518822045
"LFRESC","29","1997",10708.7158886594
"LFRESC","33","1997",749.520681385618
"LFRESC","37","1997",21060.3968988951
"LFRESC","39","1997",9367.83929497194
"LFRESC","41","1997",268481.77615204
"LFRESC","43","1997",15409.8791660178
"LFRESC","45","1997",20110.0317584166
"LFRESC","47","1997",2532.58085902251
"LFRESC","49","1997",6577.76170604622
"LFRESC","51","1997",7626.75713938128
"LFRESC","53","1997",505.725886492099
"LFRESC","55","1997",3573.10913226792
"LFRESC","57","1997",779.069683206555
"LFRESC","61","1997",734.45712040885
"LFRESC","63","1997",3540.03822104316
"LFRESC","65","1997",3772.9632572034
"LFRESC","67","1997",23443.2350841238
"LFRESC","69","1997",132386.479380106
"LFRESC","71","1997",6513.05488107213
"LFRESC","73","1997",2387.58610140406
"LFRESC","75","1997",10006.8652849692
"LFRESC","77","1997",53637.5811300533
"LFRESC","79","1997",369.443578397192
"LFRESC","81","1997",5975.33138052177
"LFRESC","83","1997",10400.7212049749
"LFRESC","85","1997",14873.9019429969
"LFRESC","87","1997",12633.274067174
"LFRESC","89","1997",8939.53567043788
"LFRESC","91","1997",1649.01726112289
"LFRESC","93","1997",7592.18593406292
"LFRESC","95","1997",2013.79639830739
"LFRESC","97","1997",10456.7023601923
"LFRESC","99","1997",5934.31537881055
"LFRESC","101","1997",59604.1499618155
"LFRESC","103","1997",3045.39578868927
"LFRESC","105","1997",5223.64208043012
"LFRESC","107","1997",11656.4565817382
"LFRESC","109","1997",2509.27228182145
"LFRESC","111","1997",327.035586643953
"LFRESC","113","1997",3909.78807367748
"LFRESC","115","1997",1219.65755495174
"LFRESC","117","1997",13120.8089060563
"LFRESC","119","1997",11163.799716416
"LFRESC","121","1997",2398.71589065064
"LFRESC","123","1997",84020.7771979541
"LFRESC","125","1997",4476.37540427429
"LFRESC","500","1997",1254049.36723369
"LFRESC","3","1998",6669.31299063526
"LFRESC","7","1998",4493.21706693665
"LFRESC","9","1998",1811.10144007483
"LFRESC","11","1998",1755.94193155487
"LFRESC","15","1998",7027.16652128604
"LFRESC","17","1998",1046.5270373996
"LFRESC","19","1998",5204.34480770214
"LFRESC","21","1998",3326.65403620552
"LFRESC","23","1998",1622.40407001453
"LFRESC","25","1998",1757.99609853955
"LFRESC","27","1998",1544.89895566007
"LFRESC","29","1998",11177.6114589433
"LFRESC","33","1998",798.92427553197
"LFRESC","37","1998",22540.5929494419
"LFRESC","39","1998",10012.7980457594
"LFRESC","41","1998",275606.178195191
"LFRESC","43","1998",16223.2590479894
"LFRESC","45","1998",21391.9031213342
"LFRESC","47","1998",2679.5732124462
"LFRESC","49","1998",6874.21768442899
"LFRESC","51","1998",8285.5642456515
"LFRESC","53","1998",533.45223541517
"LFRESC","55","1998",3702.65569102234
"LFRESC","57","1998",769.812845669201
"LFRESC","61","1998",731.157358114397
"LFRESC","63","1998",3628.30134066361
"LFRESC","65","1998",3809.74297021634
"LFRESC","67","1998",24078.8309795152
"LFRESC","69","1998",136972.967194632
"LFRESC","71","1998",6594.40694629358
"LFRESC","73","1998",2446.34016658382
"LFRESC","75","1998",10056.6166890048
"LFRESC","77","1998",55184.4271536406
"LFRESC","79","1998",381.332225086541
"LFRESC","81","1998",6115.17416107865
"LFRESC","83","1998",10564.3136053389
"LFRESC","85","1998",15274.8844790014
"LFRESC","87","1998",12649.8607074554
"LFRESC","89","1998",8931.65125833287
"LFRESC","91","1998",1723.40239377501
"LFRESC","93","1998",8085.75964711667
"LFRESC","95","1998",2020.96859097856
"LFRESC","97","1998",10429.9965203506
"LFRESC","99","1998",6032.46581760628
"LFRESC","101","1998",61188.7313986336
"LFRESC","103","1998",3009.64645679957
"LFRESC","105","1998",5310.77855473217
"LFRESC","107","1998",12011.5014577203
"LFRESC","109","1998",2553.60162623184
"LFRESC","111","1998",324.843605874175
"LFRESC","113","1998",4267.53049372095
"LFRESC","115","1998",1204.95489380999
"LFRESC","117","1998",13738.9733939643
"LFRESC","119","1998",11613.305519029
"LFRESC","121","1998",2386.14288815576
"LFRESC","123","1998",86825.519308983
"LFRESC","125","1998",4550.19790349261
"LFRESC","500","1998",1287573.08861901
"LFRESC","3","1999",6755.60090276063
"LFRESC","7","1999",4763.39508418158
"LFRESC","9","1999",1808.84090458104
"LFRESC","11","1999",1789.25308811636
"LFRESC","15","1999",7308.94212383783
"LFRESC","17","1999",1019.5624403183
"LFRESC","19","1999",5351.37020755354
"LFRESC","21","1999",3373.16090596566
"LFRESC","23","1999",1625.97371093253
"LFRESC","25","1999",1519.06515605752
"LFRESC","27","1999",1653.65547176692
"LFRESC","29","1999",11542.8279965157
"LFRESC","33","1999",827.255701906505
"LFRESC","37","1999",23935.2714817461
"LFRESC","39","1999",10637.966076711
"LFRESC","41","1999",282286.048276326
"LFRESC","43","1999",17238.462877915
"LFRESC","45","1999",22159.1407046289
"LFRESC","47","1999",2881.46514437762
"LFRESC","49","1999",7256.32043978058
"LFRESC","51","1999",8502.71209498943
"LFRESC","53","1999",540.962052074923
"LFRESC","55","1999",3802.70036479556
"LFRESC","57","1999",770.223129153983
"LFRESC","61","1999",740.263962338627
"LFRESC","63","1999",3104.37697338259
"LFRESC","65","1999",3835.30175173271
"LFRESC","67","1999",25129.7561332333
"LFRESC","69","1999",141756.572529295
"LFRESC","71","1999",6691.08271314268
"LFRESC","73","1999",2487.24394972295
"LFRESC","75","1999",9148.44112515101
"LFRESC","77","1999",56468.2180176492
"LFRESC","79","1999",405.573927749263
"LFRESC","81","1999",6235.66697638171
"LFRESC","83","1999",10836.8706519836
"LFRESC","85","1999",15789.5320817955
"LFRESC","87","1999",12811.9675898087
"LFRESC","89","1999",8964.77980013225
"LFRESC","91","1999",1824.1732743696
"LFRESC","93","1999",8652.01382953927
"LFRESC","95","1999",1992.26600752889
"LFRESC","97","1999",10407.9746659792
"LFRESC","99","1999",6148.79812700655
"LFRESC","101","1999",62512.3772359516
"LFRESC","103","1999",2944.51005118146
"LFRESC","105","1999",5398.92561761997
"LFRESC","107","1999",12452.8888264288
"LFRESC","109","1999",2665.26630841291
"LFRESC","111","1999",330.365549630526
"LFRESC","113","1999",4351.47450576426
"LFRESC","115","1999",1228.92301283009
"LFRESC","117","1999",14581.150321538
"LFRESC","119","1999",11978.7402410074
"LFRESC","121","1999",2323.76467831977
"LFRESC","123","1999",89330.0305875665
"LFRESC","125","1999",4571.97332282469
